"Address","Type","Datetime","Latitude","Longitude","Report Location","Incident Number"
"1600 S LANE ST","Medic Response","2022 Dec 01 11:46:00 PM","47.59665","-122.311586","POINT (-122.311586 47.59665)","F220146579"
"1110 E PINE ST","Medic Response","2022 Dec 01 11:03:00 PM","47.615255","-122.318026","POINT (-122.318026 47.615255)","F220146570"
"410 2ND AVE ET S","Medic Response","2022 Dec 01 10:25:00 PM","47.601202","-122.331511","POINT (-122.331511 47.601202)","F220146556"
"3826 Ne 96th St","Medic Response","2022 Dec 01 10:14:00 PM","47.698346","-122.287125","POINT (-122.287125 47.698346)","F220146550"
"6940 M L King Jr Way S","Medic Response","2022 Dec 01 09:52:00 PM","47.540318","-122.282693","POINT (-122.282693 47.540318)","F220146546"
"1421 Minor Ave","Medic Response","2022 Dec 01 08:44:00 PM","47.613146","-122.327096","POINT (-122.327096 47.613146)","F220146532"
"509 3rd Ave","Medic Response","2022 Dec 01 07:02:00 PM","47.602114","-122.330809","POINT (-122.330809 47.602114)","F220146491"
"6417 Roosevelt Way Ne","Medic Response","2022 Dec 01 06:24:00 PM","47.675118","-122.317363","POINT (-122.317363 47.675118)","F220146481"
"9216 20th Ave Sw","Medic Response","2022 Dec 01 04:38:00 PM","47.520881","-122.359164","POINT (-122.359164 47.520881)","F220146447"
"6100 Ne 60th St","Medic Response","2022 Dec 01 04:35:00 PM","47.672097","-122.262147","POINT (-122.262147 47.672097)","F220146446"
"3615 42nd Ave Sw","Medic Response","2022 Dec 01 04:12:00 PM","47.571676","-122.385671","POINT (-122.385671 47.571676)","F220146438"
"3720 Montlake Blvd Ne","Medic Response","2022 Dec 01 04:08:00 PM","47.649341","-122.304579","POINT (-122.304579 47.649341)","F220146436"
"4111 11th Ave Ne","Medic Response","2022 Dec 01 04:02:00 PM","47.657534","-122.316674","POINT (-122.316674 47.657534)","F220146434"
"124 2nd Ave S","Medic Response","2022 Dec 01 03:58:00 PM","47.601608","-122.331563","POINT (-122.331563 47.601608)","F220146428"
"6100 Ne 60th St","Medic Response","2022 Dec 01 03:42:00 PM","47.672097","-122.262147","POINT (-122.262147 47.672097)","F220146425"
"220 11th Ave","Medic Response","2022 Dec 01 03:21:00 PM","47.60368","-122.318103","POINT (-122.318103 47.60368)","F220146412"
"7500 Seward Park Ave S","Medic Response","2022 Dec 01 01:56:00 PM","47.535475","-122.267287","POINT (-122.267287 47.535475)","F220146379"
"5441 44th Ave Sw","Medic Response","2022 Dec 01 01:55:00 PM","47.553545","-122.38848","POINT (-122.38848 47.553545)","F220146378"
"3939 S Othello St","Medic Response","2022 Dec 01 01:11:00 PM","47.537045","-122.282811","POINT (-122.282811 47.537045)","F220146362"
"1221 Madison St","Medic Response","2022 Dec 01 12:33:00 PM","47.609902","-122.323791","POINT (-122.323791 47.609902)","F220146354"
"610 2ND AVE N","Medic Response","2022 Dec 01 12:19:00 PM","47.624653","-122.352791","POINT (-122.352791 47.624653)","F220146346"
"2831 3rd Ave W","Medic Response","2022 Dec 01 12:11:00 PM","47.645213","-122.360898","POINT (-122.360898 47.645213)","F220146338"
"2008 Westlake Ave","Medic Response","2022 Dec 01 12:11:00 PM","47.615007","-122.337781","POINT (-122.337781 47.615007)","F220146339"
"6220 Ravenna Ave Ne","Medic Response","2022 Dec 01 11:47:00 AM","47.673845","-122.30381","POINT (-122.30381 47.673845)","F220146324"
"1405 E Olive St","Medic Response","2022 Dec 01 11:36:00 AM","47.616451","-122.314184","POINT (-122.314184 47.616451)","F220146322"
"94 Bay St","Medic Response","2022 Dec 01 11:36:00 AM","47.618412","-122.355206","POINT (-122.355206 47.618412)","F220146321"
"5011 37th Ave Sw","Medic Response","2022 Dec 01 11:27:00 AM","47.557342","-122.378906","POINT (-122.378906 47.557342)","F220146317"
"8340 Wabash Ave S","Medic Response","2022 Dec 01 10:50:00 AM","47.52866","-122.268827","POINT (-122.268827 47.52866)","F220146296"
"2821 S Walden St","Medic Response","2022 Dec 01 09:51:00 AM","47.572163","-122.296173","POINT (-122.296173 47.572163)","F220146274"
"1401 Broadway","Medic Response","2022 Dec 01 09:47:00 AM","47.612963","-122.320762","POINT (-122.320762 47.612963)","F220146272"
"10345 Meridian Ave N","Medic Response","2022 Dec 01 09:41:00 AM","47.703624","-122.333909","POINT (-122.333909 47.703624)","F220146267"
"524 Ne 84th St","Medic Response","2022 Dec 01 09:39:00 AM","47.689677","-122.322774","POINT (-122.322774 47.689677)","F220146263"
"1827 E Mcgraw St","Medic Response","2022 Dec 01 09:33:00 AM","47.640284","-122.308587","POINT (-122.308587 47.640284)","F220146255"
"13000 Linden Ave N","Medic Response","2022 Dec 01 09:13:00 AM","47.723218","-122.348195","POINT (-122.348195 47.723218)","F220146249"
"12534 15th Ave Ne","Medic Response","2022 Dec 01 08:55:00 AM","47.719716","-122.312678","POINT (-122.312678 47.719716)","F220146244"
"4831 35th Ave Sw","Medic Response","2022 Dec 01 02:10:00 AM","47.558988","-122.376234","POINT (-122.376234 47.558988)","F220146158"
"99 Union St","Medic Response","2022 Dec 01 02:01:00 AM","47.607828","-122.339105","POINT (-122.339105 47.607828)","F220146156"
"9623 51st Ave S","Medic Response","2022 Nov 30 11:58:00 PM","47.516158","-122.270028","POINT (-122.270028 47.516158)","F220146140"
"9434 Delridge Way Sw","Medic Response","2022 Nov 30 09:15:00 PM","47.518638","-122.35631","POINT (-122.35631 47.518638)","F220146101"
"11 W Aloha St","Medic Response","2022 Nov 30 08:34:00 PM","47.627192","-122.356823","POINT (-122.356823 47.627192)","F220146095"
"2126 2nd Ave","Medic Response","2022 Nov 30 08:32:00 PM","47.61325","-122.3434","POINT (-122.3434 47.61325)","F220146094"
"5451 32nd Ave Sw","Medic Response","2022 Nov 30 08:29:00 PM","47.553069","-122.373613","POINT (-122.373613 47.553069)","F220146091"
"9411 49th Ave S","Medic Response","2022 Nov 30 08:12:00 PM","47.517886","-122.272131","POINT (-122.272131 47.517886)","F220146086"
"1501 17th Ave","Medic Response","2022 Nov 30 07:25:00 PM","47.614106","-122.310161","POINT (-122.310161 47.614106)","F220146070"
"3651 34th Ave S","Medic Response","2022 Nov 30 05:45:00 PM","47.571115","-122.28993","POINT (-122.28993 47.571115)","F220146033"
"3233 16th Ave Sw","Medic Response","2022 Nov 30 05:09:00 PM","47.574847","-122.3553","POINT (-122.3553 47.574847)","F220146018"
"10035 Wallingford Ave N","Medic Response","2022 Nov 30 03:56:00 PM","47.701614","-122.335675","POINT (-122.335675 47.701614)","F220145996"
"5th Ave S / S Jackson St","Medic Response","2022 Nov 30 03:54:00 PM","47.599195","-122.327667","POINT (-122.327667 47.599195)","F220145994"
"9400 Rainier Ave S","Medic Response","2022 Nov 30 03:53:00 PM","47.519834","-122.26509","POINT (-122.26509 47.519834)","F220145993"
"99 Spring St","Medic Response","2022 Nov 30 03:38:00 PM","47.605408","-122.336891","POINT (-122.336891 47.605408)","F220145987"
"1012 Ne 66th St","Medic Response","2022 Nov 30 03:22:00 PM","47.676556","-122.31727","POINT (-122.31727 47.676556)","F220145981"
"1921 18th Ave S","Medic Response","2022 Nov 30 03:15:00 PM","47.586171","-122.30945","POINT (-122.30945 47.586171)","F220145978"
"11 W Aloha St","Medic Response","2022 Nov 30 01:20:00 PM","47.627192","-122.356823","POINT (-122.356823 47.627192)","F220145942"
"852 Rainier Ave S","Medic Response","2022 Nov 30 12:52:00 PM","47.594244","-122.310281","POINT (-122.310281 47.594244)","F220145933"
"8514 Inverness Dr Ne","Medic Response","2022 Nov 30 12:30:00 PM","47.690691","-122.276973","POINT (-122.276973 47.690691)","F220145920"
"1630 43rd Ave E","Medic Response","2022 Nov 30 11:31:00 AM","47.633523","-122.277157","POINT (-122.277157 47.633523)","F220145896"
"1530 3rd Ave","Medic Response","2022 Nov 30 10:26:00 AM","47.610044","-122.338062","POINT (-122.338062 47.610044)","F220145863"
"3509 S Adams St","Medic Response","2022 Nov 30 10:06:00 AM","47.56552","-122.28964","POINT (-122.28964 47.56552)","F220145859"
"3220 Sw Cloverdale St","Medic Response","2022 Nov 30 09:29:00 AM","47.526472","-122.374071","POINT (-122.374071 47.526472)","F220145834"
"7500 E MARGINAL WAY S","Medic Response","2022 Nov 30 09:22:00 AM",,,"POINT (-122.33212 47.53576)","F220145832"
"4550 38th Ave Sw","Medic Response","2022 Nov 30 09:21:00 AM","47.56207","-122.380088","POINT (-122.380088 47.56207)","F220145831"
"3244 Nw 54th St","Medic Response","2022 Nov 30 09:12:00 AM","47.667464","-122.399817","POINT (-122.399817 47.667464)","F220145827"
"7408 48th Ave S","Medic Response","2022 Nov 30 08:58:00 AM","47.535874","-122.272642","POINT (-122.272642 47.535874)","F220145822"
"5300 Rainier Ave S","Medic Response","2022 Nov 30 08:10:00 AM","47.553907","-122.280749","POINT (-122.280749 47.553907)","F220145798"
"2816 Nw 77th St","Medic Response","2022 Nov 30 08:05:00 AM","47.684933","-122.393231","POINT (-122.393231 47.684933)","F220145794"
"14304 20th Ave Ne","Medic Response","2022 Nov 30 06:33:00 AM","47.732097","-122.307328","POINT (-122.307328 47.732097)","F220145778"
"105 5th Ave S","Medic Response","2022 Nov 30 05:44:00 AM","47.601643","-122.327656","POINT (-122.327656 47.601643)","F220145763"
"116 Fairview Ave N","Medic Response","2022 Nov 30 05:23:00 AM","47.618693","-122.334256","POINT (-122.334256 47.618693)","F220145758"
"1039 6th Ave S","Medic Response","2022 Nov 30 04:29:00 AM","47.593751","-122.325968","POINT (-122.325968 47.593751)","F220145745"
"6728 Jones Ave Nw","Medic Response","2022 Nov 30 03:06:00 AM","47.677864","-122.386434","POINT (-122.386434 47.677864)","F220145722"
"2870 S Hanford St","Medic Response","2022 Nov 30 01:37:00 AM","47.574853","-122.295888","POINT (-122.295888 47.574853)","F220145696"
"10049 College Way N","Medic Response","2022 Nov 30 12:56:00 AM","47.701742","-122.335029","POINT (-122.335029 47.701742)","F220145680"
"3223 Cascadia Ave S","Medic Response","2022 Nov 30 12:37:00 AM","47.574778","-122.283541","POINT (-122.283541 47.574778)","F220145671"
"904 7th Ave","Medic Response","2022 Nov 29 11:35:00 PM","47.6069","-122.329051","POINT (-122.329051 47.6069)","F220145653"
"4700 12th Ave Ne","Medic Response","2022 Nov 29 11:17:00 PM","47.663106","-122.315263","POINT (-122.315263 47.663106)","F220145643"
"4809 SW JUNEAU ST","Medic Response","2022 Nov 29 10:57:00 PM","47.55028","-122.393878","POINT (-122.393878 47.55028)","F220145637"
"9712 Phinney Ave N","Medic Response","2022 Nov 29 09:22:00 PM","47.699843","-122.354054","POINT (-122.354054 47.699843)","F220145598"
"500 5th Ave","Medic Response","2022 Nov 29 08:59:00 PM","47.602985","-122.328535","POINT (-122.328535 47.602985)","F220145588"
"7763 11th Ave Sw","Medic Response","2022 Nov 29 08:38:00 PM","47.532978","-122.349302","POINT (-122.349302 47.532978)","F220145584"
"7042 23rd Ave Nw","Medic Response","2022 Nov 29 08:25:00 PM","47.679759","-122.385369","POINT (-122.385369 47.679759)","F220145573"
"9416 Rainier Ave S","Medic Response","2022 Nov 29 08:21:00 PM","47.519928","-122.264319","POINT (-122.264319 47.519928)","F220145571"
"2212 1st Ave","Medic Response","2022 Nov 29 06:46:00 PM","47.612692","-122.345359","POINT (-122.345359 47.612692)","F220145519"
"1550 N 115th St","Medic Response","2022 Nov 29 06:40:00 PM","47.712305","-122.339596","POINT (-122.339596 47.712305)","F220145516"
"7500 Seward Park Ave S","Medic Response","2022 Nov 29 06:31:00 PM","47.535475","-122.267287","POINT (-122.267287 47.535475)","F220145512"
